codepath,yamlpath,complexity
gramex.handlers.basehandler.BaseMixin._cached_get,url,2
gramex.handlers.basehandler.BaseMixin._write_headers,url.*.kwargs.headers,4
gramex.handlers.basehandler.BaseMixin.debug_exception,url,1
gramex.handlers.basehandler.BaseMixin._write_custom_error,url.*.kwargs.error,7
gramex.handlers.basehandler.BaseMixin.session,url.*.kwargs.auth,1
gramex.handlers.basehandler.BaseMixin._set_new_session_id,url.*.kwargs.auth,4
gramex.handlers.basehandler.BaseMixin.get_session,url.*.kwargs.auth,6
gramex.handlers.basehandler.BaseMixin.save_session,url.*.kwargs.auth,2
gramex.handlers.basehandler.BaseMixin.otp,url.*.kwargs.auth,2
gramex.handlers.basehandler.BaseMixin.get_otp,url.*.kwargs.auth,4
gramex.handlers.basehandler.BaseMixin.revoke_otp,url.*.kwargs.auth,1
gramex.handlers.basehandler.BaseMixin.apikey,url.*.kwargs.auth,1
gramex.handlers.basehandler.BaseMixin.revoke_apikey,url.*.kwargs.auth,1
gramex.handlers.basehandler.BaseMixin.override_user,url.*.kwargs.auth,7
gramex.handlers.basehandler.BaseMixin.set_last_visited,url.*.kwargs.auth,3
gramex.handlers.basehandler.BaseMixin.check_ratelimit,url.*.kwargs.ratelimit,2
gramex.handlers.basehandler.BaseMixin.update_ratelimit,url.*.kwargs.ratelimit,2
gramex.handlers.basehandler.BaseMixin.set_ratelimit_headers,url.*.kwargs.ratelimit,2
gramex.handlers.basehandler.BaseHandler.initialize,url,3
gramex.handlers.basehandler.BaseHandler.get_arg,url,3
gramex.handlers.basehandler.BaseHandler.prepare,url,2
gramex.handlers.basehandler.BaseHandler.set_default_headers,url,1
gramex.handlers.basehandler.BaseHandler.on_finish,url,2
gramex.handlers.basehandler.BaseHandler.get_current_user,url,1
gramex.handlers.basehandler.BaseHandler.log_exception,url,1
gramex.handlers.basehandler.BaseHandler.authorize,url.*.kwargs.auth,10
gramex.handlers.basehandler.BaseHandler.argparse,url.*.handler=CaptureHandler|MLHandler|ModelHandler|OpenAPIHandler,26
gramex.handlers.basehandler.BaseHandler.create_template_loader,url.*.kwargs.template,1
gramex.handlers.basehandler.BaseWebSocketHandler.*,url.*.handler=WebSocketHandler|Websocket,11
gramex.handlers.basehandler.SetupFailedHandler.get,url,1
gramex.handlers.basehandler.check_membership,url.*.kwargs.auth.membership,4
gramex.handlers.basehandler._check_condition,url.*.kwargs.auth.membership,6
gramex.handlers.capturehandler.*,url.*.handler=CaptureHandler|Screenshot,46
gramex.handlers.comichandler.*,url.*.handler=ComicHandler|Comic,6
gramex.handlers.drivehandler.*,url.*.handler=DriveHandler|Storage,36
gramex.handlers.filehandler.*,url.*.handler=FileHandler|DirectoryHandler|File,59
gramex.handlers.filterhandler.*,url.*.handler=FilterHandler|Filter,1
gramex.handlers.formhandler.*,url.*.handler=FormHandler|Data,63
gramex.handlers.functionhandler.*,url.*.handler=FunctionHandler|Function,14
gramex.handlers.jsonhandler.*,url.*.handler=JSONHandler|JSON,31
gramex.handlers.mlhandler.get_model,url.*.handler=MLHandler|ML,6
gramex.handlers.mlhandler.MLHandler.*,url.*.handler=MLHandler|ML,74
gramex.handlers.mlhandler.MLPredictor.*,url.*.handler=MLPredictor,6
gramex.handlers.modelhandler.*,url.*.handler=ModelHandler,33
gramex.handlers.openapihandler.*,url.*.handler=OpenAPIHandler|OpenAPI,21
gramex.handlers.pptxhandler.*,"url.*.handler=PPTXHandler, Slide",3
gramex.handlers.processhandler.*,url.*.handler=ProcessHandler|Process,17
gramex.handlers.proxyhandler.*,url.*.handler=ProxyHandler|Proxy,23
gramex.handlers.socialhandler.SocialHandler.*,url.*.handler=TwitterRESTHandler|Twitter|FacebookGraphHandler|Facebook,23
gramex.handlers.socialhandler.TwitterRESTHandler.*,url.*.handler=TwitterRESTHandler|Twitter,8
gramex.handlers.socialhandler.FacebookGraphHandler.*,url.*.handler=FacebookGraphHandler|Facebook,6
gramex.handlers.uploadhandler.*,url.*.handler=UploadHandler|Upload,44
gramex.handlers.websockethandler.*,url.*.handler=WebSocketHandler|Websocket,7
gramex.handlers.__init__.*,url.*.handler=OAuth2|FacebookAuth|TwitterAuth|SAMLAuth|SAMLAuth2|LDAPAuth|DBAuth|IntegratedAuth|SMSAuth|EmailAuth,4
gramex.pptgen.*,url.*.handler=PPTXHandler,363
gramex.pptgen2.*,url.*.handler=PPTXHandler,244
gramex.services.emailer.*,email,34
gramex.services.rediscache.*,cache.*.type=redis,23
gramex.services.scheduler.*,schedule,26
gramex.services.sms.*,sms,10
gramex.services.ttlcache.*,cache.*.type=memory,46
gramex.services.urlcache.get_cachefile,cache,4
gramex.services.urlcache.CacheFile.*,cache,3
gramex.services.urlcache.MemoryCacheFile.*,cache.*.type=memory,4
gramex.services.urlcache.MemoryCacheFile.*,cache.*.type=disk,4
gramex.services.urlcache.RedisCacheFile.*,cache.*.type=redis,4
gramex.services.watcher.*,watch,23
gramex.services.__init__.version,version,2
gramex.services.__init__.log,log,10
gramex.services.__init__.app,app,21
gramex.services.__init__.schedule,schedule,5
gramex.services.__init__.alert,alert,7
gramex.services.__init__.threadpool,threadpool,2
gramex.services.__init__.url,url,16
gramex.services.__init__.mime,mime,2
gramex.services.__init__.watch,watch,9
gramex.services.__init__.cache,cache,10
gramex.services.__init__.eventlog,eventlog,6
gramex.services.__init__.email,email,3
gramex.services.__init__.sms,sms,6
gramex.services.__init__.handlers,handlers,1
gramex.services.__init__.encrypt,encrypt,1
gramex.services.__init__.test,test,1
gramex.services.__init__.gramexlog,gramexlog,11
gramex.services.__init__.storelocations,storelocations,2
gramex.services.__init__._storelocations_purge,storelocations,1
gramex.services.__init__.GramexApp.log_request,log,4
gramex.services.__init__.GramexApp.clear_handlers,app,1
gramex.services.__init__.create_alert,alert,36
gramex.services.__init__._markdown_convert,alert,2
gramex.services.__init__._tmpl,alert,2
gramex.services.__init__._stop_all_tasks,schedule,2
gramex.services.__init__._stop_all_tasks,alert,2
gramex.services.__init__._sort_url_patterns,url.*.pattern,1
gramex.services.__init__._url_normalize,url.*.pattern,2
gramex.services.__init__._get_cache_key,url.*.cache,10
gramex.services.__init__._cache_generator,url.*.cache,5
gramex.transforms.auth.ensure_single_session,url.*.handlers.kwargs.action.function:ensure_single_session,7
gramex.transforms.template.template,url.*.kwargs.template,4
gramex.transforms.template.scss,url.*.kwargs.scss,1
gramex.transforms.template.ts,url.*.kwargs.ts,1
gramex.transforms.template.vue,url.*.kwargs.vue,1
gramex.transforms.template.CacheLoader.*,url.*.kwargs.template,3
gramex.transforms.transforms.identity,TODO - if any PY code uses @handler,1
gramex.transforms.transforms._arg_repr,TODO - same as build_transform (maybe always),4
gramex.transforms.transforms._full_name,TODO - same as build_transform (maybe always),3
gramex.transforms.transforms.module_names,TODO - same as build_transform (maybe always),11
gramex.transforms.transforms.build_transform,TODO - same as build_transform (maybe always),15
gramex.transforms.transforms.build_pipeline,TODO - same as build_transform (maybe always),15
gramex.transforms.transforms.condition,DEPRECATED,8
gramex.transforms.transforms.flattener,TODO - if any PY code use flatter(),10
gramex.transforms.transforms.once,TODO - if any PY code uses once(),5
gramex.transforms.transforms.typelist,TODO - if any PY code uses @handler,2
gramex.transforms.transforms.convert,TODO - if any PY code uses @handler,2
gramex.transforms.transforms.handler,TODO - if any PY code uses @handler,14
gramex.transforms.transforms.handler_expr,log.handlers.user.keys,4
gramex.transforms.transforms.handler_expr,log.handlers.requests.keys,4
gramex.transforms.transforms.handler_expr,gramexlog,4
gramex.transforms.transforms.build_log_info,log.handlers.user.keys,5
gramex.transforms.transforms.build_log_info,log.handlers.requests.keys,5
gramex.transforms.transforms.build_log_info,gramexlog,5
gramex.transforms.twitterstream.*,TODO - if any PY code uses TwitterStream,44
gramexenterprise.handlers.authhandler.OAuth2.*,url.*.handler=OAuth2,15
gramexenterprise.handlers.authhandler.FacebookAuth.*,url.*.handler=FacebookAuth,2
gramexenterprise.handlers.authhandler.TwitterAuth.*,url.*.handler=TwitterAuth,3
gramexenterprise.handlers.authhandler.SAMLAuth.*,url.*.handler=SAMLAuth,9
gramexenterprise.handlers.authhandler.SAMLAuth2.*,url.*.handler=SAMLAuth2,10
gramexenterprise.handlers.authhandler.LDAPAuth.*,url.*.handler=LDAPAuth,15
gramexenterprise.handlers.authhandler.DBAuth.*,url.*.handler=DBAuth,49
gramexenterprise.handlers.authhandler.IntegratedAuth.*,url.*.handler=IntegratedAuth,13
gramexenterprise.handlers.authhandler.SMSAuth.*,url.*.handler=SMSAuth,7
gramexenterprise.handlers.authhandler.EmailAuth.*,url.*.handler=EmailAuth,10
gramexenterprise.handlers.authhandler.*,url.*.handler=OAuth2|FacebookAuth|TwitterAuth|SAMLAuth|SAMLAuth2|LDAPAuth|DBAuth|IntegratedAuth|SMSAuth|EmailAuth,1
